ID	タイトル	タイトルよみ	版	シリーズタイトル	責任表示	出版者	出版地（国名コード）	出版年月日等	出版年（W3CDTF）	タイトル（掲載誌）	授与機関名・学位	刊行巻次	大きさ、容量等	縮尺	分類（NDC）	分類（NDLC）	件名標目	ジャンル・形式用語	請求記号	書誌ID（NDLBibID）	識別子（URI）	DOI	国立国会図書館永続的識別子	規格・リポート番号	ISBN	ISSN、ISSN-L	ISMN（国際標準楽譜番号）	発売番号	並列タイトル	受理日（W3CDTF）	目次	注記	本文の言語コード（ISO639-2）	記録形式	掲載巻	掲載号	掲載通号	一次資料へのリンクURL	原資料（URI）	関連情報（URI）	異版（URI）	掲載誌（URI）	目次・記事（URI）	別の記録形式である（URI）	別の記録形式を持つ（URI）	改題前（NDLJP）	改題後（NDLJP）	収集根拠	所蔵機関	連携機関・データベース	アクセスURL	資料種別	資料形態
R100000002-I024845961	Dendroecological analysis of long-term forest dynamics of old-growth Cryptomeria japonica forest on Yakushima Island	Dendroecological analysis of long-term forest dynamics of old-growth Cryptomeria japonica forest on Yakushima Island			Shizu Itaka [著]	[Shizu Itaka]	JP	[2013]	2013		九州大学 , 博士(農学)		1冊			UT51			UT51-2013-E880	024845961	024845961								年輪生態学的手法を用いた屋久島におけるスギ老齢林の長期森林動態の解明			博士論文	eng																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I024845961	博士論文	紙
R100000039-I11238660	Feeding competition in Japanese macaques in Yakushima : effects of intergroup hostility and group size	Feeding competition in Japanese macaques in Yakushima : effects of intergroup hostility and group size			栗原, 洋介	栗原, 洋介		2017	2017		京都大学 , 博士(理学)												info:ndljp/pid/11238660						屋久島のニホンザルにおける採食競合 : 群間関係および群れサイズの影響	2019-01-30T20:26:27+09:00			eng															博士論文（送信）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/11238660	博士論文	デジタル
R100000039-I13119371	Feeding competition in Japanese macaques in Yakushima: effects of intergroup hostility and group size	Feeding competition in Japanese macaques in Yakushima: effects of intergroup hostility and group size			Kurihara, Yosuke	京都大学 (Kyoto University)		2017-03-23	2017-03-23		京都大学 , 博士(理学) , Doctor of Science				400		socioecology , feeding ecology , group size , food patch use , energy balance					10.14989/doctor.k20217 , 10.14989/doctor.k20217	info:ndljp/pid/13119371						屋久島のニホンザルにおける採食競合：群間関係および群れサイズの影響	2023-12-05T21:40:56+09:00			eng									http://dx.doi.org/10.14989/doctor.k20217 , http://hdl.handle.net/2433/225442						博士論文（自動収集）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/13119371	博士論文	デジタル
R100000039-I11150746	Community-based tourism in national parks in developed and developing countries: Comparative study of Yakushima National Parks, Japan and Gashaka-Gumti National Park, Nigeria	Community-based tourism in national parks in developed and developing countries: Comparative study of Yakushima National Parks, Japan and Gashaka-Gumti National Park, Nigeria			Adewumi, Ifeoluwa Bolanle			2017-09-06	2017-09-06		広島大学(Hiroshima University) , 博士(学術)												info:ndljp/pid/11150746						先進国および発展途上国の国立公園におけるコミュニティ主体の観光 : 日本の屋久島国立公園とナイジェリアのガシャカ・グムティ国立公園の比較研究	2018-09-03T21:27:21+09:00			eng									https://ir.lib.hiroshima-u.ac.jp/00044589						博士論文（自動収集）		国立国会図書館デジタルコレクション	https://dl.ndl.go.jp/pid/11150746	博士論文	デジタル
R100000002-I000008285038	Colour dimorphism in Elaphe quadrivirgata (Serpentes:Colubridae) on Yakushima Island, with special reference to its thermal biology	Colour dimorphism in Elaphe quadrivirgata (Serpentes:Colubridae) on Yakushima Island, with special reference to its thermal biology			Koji Tanaka [著]	[Koji Tanaka]	JP	2006	2006		京都大学 , 博士 (理学)		1冊			UT51			UT51-2006-J143	000008285038	000008285038								屋久島におけるシマヘビの色彩二型、特に温度生物学に関する論及			博士論文	eng																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000008285038	博士論文	紙
R100000002-I000004197467	Molecular ecology of the Japanese macaques (Macaca fuscata yakui) : Sexual behavior and paternity in wild Yakushima troops	Molecular ecology of the Japanese macaques (Macaca fuscata yakui) : Sexual behavior and paternity in wild Yakushima troops			早川祥子 [著]	[早川祥子]	JP	[2003]	2003		京都大学 , 博士 (理学)		1冊			UT51			UT51-2003-H449	000004197467	000004197467								ニホンザルの分子生態学 : 屋久島の野生群における性行動と父性			博士論文	eng																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000004197467	博士論文	紙
R100000002-I000003537791	Ecological adaptations of Japanese macaques in Yakushima into various altitudinal zones	Ecological adaptations of Japanese macaques in Yakushima into various altitudinal zones			半谷吾郎 [著]	[半谷吾郎]	JP	2001	2001		京都大学 , 博士 (理学)		1冊			UT51			UT51-2002-G132	000003537791	000003537791								屋久島のニホンザルの異なる標高帯への生態学的適応に関する研究			博士論文	eng																国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000003537791	博士論文	紙
R100000002-I000000356109	A Study on the forest recreation	A Study on the forest recreation			馬場裕典 [著]		JP				鹿児島大学 , 博士 (農学)					UT51			UT51-2000-J907	000000356109	000000356109	10.11501/3170918	info:ndljp/pid/3170918						森林リクリエーションに関する研究			博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000356109	博士論文	紙
R100000002-I000000335861	絶滅危惧種ヤクタネゴヨウの保全に関する研究	ゼツメツ キグシュ ヤクタネゴヨウ ノ ホゼン ニ カンスル ケンキュウ			金谷整一 [著]		JP				九州大学 , 博士(農学)					UT51			UT51-99-J240	000000335861	000000335861	10.11501/3150669	info:ndljp/pid/3150669									博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000335861	博士論文	紙
R100000002-I000000308481	Male lifehistory and social structure of wild Japanese macaques in Yakushima, Japan	Male lifehistory and social structure of wild Japanese macaques in Yakushima, Japan			鈴木滋 [著]		JP				京都大学 , 博士 (理学)					UT51			UT51-97-H80	000000308481	000000308481	10.11501/3123291	info:ndljp/pid/3123291						屋久島の野生ニホンザルのオスの生活史と社会構造			博士論文																	国立国会図書館	国立国会図書館蔵書	https://ndlsearch.ndl.go.jp/books/R100000002-I000000308481	博士論文	紙
